In the vicinity thunderstorm,27,0.07015902712815715
Clear,32402,84.19602951876104
Heavy drizzle,11,0.02858330734850847
Heavy rain,20,0.051969649724560855
Unknown precipitation,23,0.059765097183244985
"Light rain, mist",599,1.5564910092505977
"Heavy in the vicinity thunderstorm, rain",1,0.002598482486228043
Drizzle,78,0.20268163392578734
"Light in the vicinity thunderstorm, rain",1,0.002598482486228043
Haze,575,1.4941274295811247
Fog,148,0.3845754079617503
Light snow,176,0.45733291757613553
Light rain,1641,4.264109759900219
Light drizzle,101,0.2624467311090323
"Heavy rain, mist",128,0.3326057582371895
Rain,160,0.41575719779648684
Mist,2089,5.428229913730381
"Rain, mist",297,0.7717492984097287
"Heavy rain, fog",7,0.0181893774035963
